1,37,USA,m,married,y,27673,2053,24h,True,1,,affection
2,29,IND,m,married,y,27674,2,24h,True,1,,affection
3,25,IND,m,single,n,27675,1936,24h,True,1,,exercise
4,32,USA,m,married,y,27676,206,24h,True,2,bonding,bonding
5,29,USA,m,married,y,27677,6227,24h,True,1,,affection
6,35,IND,m,married,y,27678,45,24h,True,1,leisure,leisure
7,34,USA,m,married,y,27679,195,24h,True,1,,achievement
8,29,VNM,m,single,n,27680,740,24h,True,1,,affection
9,61,USA,f,married,y,27681,3,24h,True,1,,enjoy_the_moment
10,27,USA,m,single,n,27682,4833,24h,True,1,,affection
11,45,USA,m,divorced,n,27683,7334,24h,True,1,,leisure
12,25,USA,f,single,n,27684,78,24h,True,2,,exercise
13,45,IND,m,married,y,27685,21,24h,True,1,,bonding
14,25,IND,m,married,y,27686,8,24h,True,1,,achievement
15,27,USA,m,married,y,27687,586,24h,False,2,,enjoy_the_moment
16,35,USA,m,single,n,27688,489,24h,True,1,,affection
17,30,USA,m,single,n,27689,976,24h,True,1,,bonding
18,30,USA,m,single,n,27690,3972,24h,True,1,,achievement
19,29,USA,m,married,n,27691,14,24h,True,1,,bonding
20,40,USA,m,married,y,27692,1230,24h,True,3,,affection
21,29,IND,m,single,y,27693,9950,24h,True,1,,achievement
22,32,USA,m,single,n,27694,4862,24h,True,2,,affection
23,27,IND,m,single,n,27695,4891,24h,True,2,,achievement
24,35,IND,f,single,n,27696,737,24h,False,2,,enjoy_the_moment
25,32,IND,m,married,y,27697,498,24h,True,1,affection,affection
26,31,IND,f,married,y,27698,2124,24h,True,1,,achievement
27,28,USA,m,married,y,27699,156,24h,True,1,,affection
28,36,USA,m,married,y,27700,1783,24h,True,1,,leisure
29,44,USA,m,single,n,27701,3382,24h,True,1,,affection
30,37,USA,m,married,y,27702,54,24h,True,1,,affection
31,31,USA,f,married,n,27703,794,24h,True,1,,affection
32,45,IND,f,married,y,27704,1510,24h,True,2,,achievement
33,44,THA,m,married,y,27705,5732,24h,True,1,bonding,affection
34,23,USA,m,single,n,27706,6215,24h,True,1,,affection
35,26,IND,m,single,n,27707,402,24h,True,1,,nature
36,37,USA,m,single,n,27708,2957,24h,True,9,,bonding
37,23,USA,m,single,n,27709,261,24h,True,2,,nature
38,26,GBR,m,single,y,27710,516,24h,True,1,,affection
39,36,IND,m,married,y,27711,1215,24h,True,2,,bonding
40,28,IND,m,single,n,27712,848,24h,True,1,,affection
41,26,SRB,m,single,n,27713,396,24h,True,3,,affection
42,32,USA,m,single,n,27714,4,24h,True,1,,achievement
43,36,USA,m,married,y,27715,2272,24h,True,1,bonding,bonding
44,42,USA,f,single,n,27716,157,24h,True,1,,affection
45,23,IND,m,single,n,27717,466,24h,True,1,,affection
46,29,USA,m,single,n,27718,1566,24h,True,1,,enjoy_the_moment
47,41,USA,m,married,n,27719,36,24h,True,1,,achievement
48,57,USA,f,married,n,27720,2019,24h,True,1,,bonding
49,35,USA,m,married,n,27721,4109,24h,True,2,,nature
50,30,IND,m,single,y,27722,373,24h,True,1,,affection
51,30,IND,m,single,n,27723,389,24h,True,1,leisure,leisure
52,29,IND,m,married,y,27724,10576,24h,True,2,enjoy_the_moment,enjoy_the_moment
53,32,USA,m,married,y,27725,2129,24h,True,2,,achievement
54,29,IND,f,married,y,27726,383,24h,True,1,achievement,achievement
55,26,IND,m,married,y,27727,553,24h,True,3,,achievement
56,24,IND,f,single,n,27728,311,24h,True,1,,achievement
57,34,USA,m,single,n,27729,104,24h,True,1,,affection
58,38,USA,m,married,n,27730,3284,24h,True,1,,achievement
59,43,USA,m,single,n,27731,2776,24h,True,2,,affection
60,29,USA,m,single,n,27732,25,24h,True,1,,achievement
61,29,IND,m,single,n,27733,257,24h,True,1,,affection
62,3,IND,m,single,n,27734,13224,24h,True,1,,achievement
63,25,USA,m,single,n,27735,1377,24h,True,1,achievement,achievement
64,48,USA,f,married,y,27736,5652,24h,True,1,,bonding
65,30,IND,m,single,n,27737,57,24h,True,1,,affection
66,41,USA,f,single,n,27738,612,24h,True,1,,achievement
67,44,USA,m,married,y,27739,2646,24h,True,1,,affection
68,37,USA,m,single,y,27740,2794,24h,True,1,,achievement
69,23,USA,m,married,y,27741,3797,24h,True,1,,affection
70,28,IND,f,married,y,27742,9885,24h,True,1,,affection
71,26,IND,m,single,y,27743,6186,24h,True,1,,affection
72,25,BGR,m,single,y,27744,491,24h,True,6,,affection
73,38,USA,f,married,y,27745,1020,24h,True,1,achievement,achievement
74,27,IND,f,married,y,27746,1625,24h,True,1,achievement,achievement
75,25,IND,m,married,y,27747,1782,24h,True,1,,affection
76,29,IND,m,married,y,27748,330,24h,True,2,,achievement
77,29,USA,m,single,n,27749,589,24h,True,2,,affection
78,28,USA,f,married,y,27750,35,24h,True,1,,exercise
79,27,IND,m,single,n,27751,524,24h,True,1,,achievement
80,23,USA,o,single,n,27752,477,24h,False,4,,enjoy_the_moment
81,30,IND,m,single,y,27753,37,24h,True,1,,achievement
82,53,USA,f,single,n,27754,215,24h,True,1,,affection
83,30,USA,m,single,n,27755,2416,24h,True,1,,affection
84,32,USA,m,married,y,27756,8589,24h,True,1,,leisure
85,23,IND,f,single,n,27757,237,24h,True,1,,enjoy_the_moment
86,27,USA,m,single,n,27758,69,24h,True,1,,achievement
87,36,USA,f,single,n,27759,648,24h,True,1,enjoy_the_moment,enjoy_the_moment
88,46,USA,f,married,y,27760,1833,24h,True,1,,achievement
89,36,USA,f,single,n,27761,1430,24h,True,1,,exercise
90,32,USA,m,married,y,27762,15,24h,True,1,,affection
91,29,USA,m,single,n,27763,1300,24h,True,1,,achievement
